Tipo de alojamiento;Codigo_CA;Comunidad;Residencia: Nivel 2;Año;Mes;Total;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;9;1025343;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;8;947991;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;7;875160;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;6;908332;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;5;1074016;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;4;979158;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;3;735543;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;2;553058;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;1;471847;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;12;206449;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;11;207704;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;10;270671;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;9;274902;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;8;360395;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;7;298120;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;6;267967;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;5;265442;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;4;224184;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;3;266685;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;2;208041;;
Encuesta de Ocupación Hotelera;2;Aragón;;2024;1;181165;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;12;170556;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;11;162338;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;10;202570;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;9;201935;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;8;276921;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;7;228472;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;6;205477;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;5;195048;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;4;168215;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;3;226022;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;2;169766;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en España;2024;1;148878;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;12;35893;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;11;45365;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;10;68101;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;9;72968;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;8;83474;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;7;69648;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;6;62491;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;5;70395;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;4;55969;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;3;40663;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;2;38275;;
Encuesta de Ocupación Hotelera;2;Aragón;Residentes en el Extranjero;2024;1;32287;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;12;100710;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;11;115502;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;10;173676;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;9;229744;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;8;291579;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;7;255593;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;6;201070;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;5;184952;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;4;145049;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;3;139515;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;2;87370;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;;2024;1;79730;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;12;88820;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;11;100300;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;10;137737;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;9;172236;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;8;234762;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;7;205698;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;6;153149;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;5;135795;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;4;114364;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;3;120887;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;2;76616;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en España;2024;1;67986;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;12;11890;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;11;15202;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;10;35939;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;9;57508;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;8;56818;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;7;49895;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;6;47921;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;5;49157;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;4;30685;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;3;18628;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;2;10754;;
Encuesta de Ocupación Hotelera;3;Asturias, Principado de;Residentes en el Extranjero;2024;1;11744;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;12;102526;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;11;121271;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;10;1360646;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;9;1741692;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;8;2093220;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;7;2022788;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;6;1859985;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;5;1747086;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;4;761737;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;3;375281;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;2;148843;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;;2024;1;69271;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;12;39500;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;11;39934;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;10;162615;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;9;177047;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;8;241846;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;7;213425;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;6;241084;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;5;189989;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;4;111851;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;3;104550;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;2;57019;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en España;2024;1;30560;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;12;63026;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;11;81337;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;10;1198031;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;9;1564645;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;8;1851374;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;7;1809362;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;6;1618901;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;5;1557097;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;4;649886;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;3;270731;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;2;91824;;
Encuesta de Ocupación Hotelera;4;Balears, Illes;Residentes en el Extranjero;2024;1;38711;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;12;908820;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;11;921709;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;10;985132;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;9;893661;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;8;1011021;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;7;955531;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;6;900110;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;5;870569;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;4;896339;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;3;989449;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;2;900826;;
Encuesta de Ocupación Hotelera;5;Canarias;;2024;1;879041;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;12;161306;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;11;153280;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;10;200645;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;9;235293;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;8;303756;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;7;268340;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;6;250458;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;5;221396;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;4;170967;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;3;160663;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;2;130654;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en España;2024;1;132073;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;12;747514;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;11;768429;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;10;784487;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;9;658368;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;8;707265;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;7;687191;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;6;649652;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;5;649173;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;4;725372;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;3;828786;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;2;770172;;
Encuesta de Ocupación Hotelera;5;Canarias;Residentes en el Extranjero;2024;1;746968;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;12;56621;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;11;71688;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;10;105729;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;9;150890;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;8;217436;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;7;190406;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;6;139222;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;5;137072;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;4;110703;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;3;103066;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;2;52813;;
Encuesta de Ocupación Hotelera;6;Cantabria;;2024;1;46178;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;12;48006;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;11;59831;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;10;74612;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;9;101537;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;8;171610;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;7;143762;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;6;97345;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;5;93184;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;4;80190;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;3;85037;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;2;42220;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en España;2024;1;38512;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;12;8614;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;11;11857;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;10;31117;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;9;49352;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;8;45826;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;7;46644;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;6;41876;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;5;43888;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;4;30514;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;3;18029;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;2;10593;;
Encuesta de Ocupación Hotelera;6;Cantabria;Residentes en el Extranjero;2024;1;7666;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;12;324533;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;11;375559;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;10;492835;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;9;526727;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;8;645963;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;7;531290;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;6;487902;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;5;501972;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;4;415320;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;3;386692;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;2;289214;;
Encuesta de Ocupación Hotelera;7;Castilla y León;;2024;1;243691;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;12;266725;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;11;308579;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;10;357792;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;9;362445;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;8;477416;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;7;377571;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;6;355300;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;5;341701;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;4;294848;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;3;315264;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;2;239425;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en España;2024;1;199338;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;12;57809;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;11;66980;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;10;135043;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;9;164282;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;8;168547;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;7;153719;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;6;132602;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;5;160270;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;4;120472;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;3;71427;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;2;49790;;
Encuesta de Ocupación Hotelera;7;Castilla y León;Residentes en el Extranjero;2024;1;44354;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;12;158345;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;11;183414;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;10;240591;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;9;217829;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;8;218211;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;7;202259;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;6;212962;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;5;234897;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;4;206068;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;3;182088;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;2;142708;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;;2024;1;121535;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;12;136084;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;11;151602;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;10;197168;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;9;178097;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;8;180602;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;7;167686;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;6;177940;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;5;190509;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;4;171862;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;3;150411;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;2;119970;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en España;2024;1;100490;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;12;22261;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;11;31812;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;10;43423;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;9;39732;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;8;37609;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;7;34573;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;6;35022;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;5;44388;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;4;34206;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;3;31677;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;2;22738;;
Encuesta de Ocupación Hotelera;8;Castilla - La Mancha;Residentes en el Extranjero;2024;1;21046;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;12;1162859;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;11;1250229;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;10;1936191;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;9;2149212;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;8;2645423;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;7;2531716;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;6;2317946;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;5;2230192;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;4;1710107;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;3;1517111;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;2;1136047;;
Encuesta de Ocupación Hotelera;9;Cataluña;;2024;1;1008841;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;12;517245;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;11;484693;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;10;608812;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;9;691162;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;8;899260;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;7;861378;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;6;851680;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;5;692418;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;4;550948;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;3;618318;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;2;444253;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en España;2024;1;413495;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;12;645613;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;11;765536;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;10;1327379;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;9;1458050;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;8;1746163;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;7;1670337;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;6;1466266;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;5;1537775;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;4;1159158;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;3;898793;;
Encuesta de Ocupación Hotelera;9;Cataluña;Residentes en el Extranjero;2024;2;691794;;
